threshold,precision,recall,f1,false_positive_rate,false_negative_rate,tp,fp,tn,fn
0.12499999999999999,0.9371980676328503,0.9897959183673469,0.9627791563275434,0.05277401894451962,0.01020408163265306,582.0,39.0,700.0,6.0
0.12988755743477282,0.9371980676328503,0.9897959183673469,0.9627791563275434,0.05277401894451962,0.01020408163265306,582.0,39.0,700.0,6.0
0.13,0.9370967741935484,0.9880952380952381,0.9619205298013245,0.05277401894451962,0.011904761904761904,581.0,39.0,700.0,7.0
0.135,0.9370967741935484,0.9880952380952381,0.9619205298013245,0.05277401894451962,0.011904761904761904,581.0,39.0,700.0,7.0
0.13655424575728373,0.9370967741935484,0.9880952380952381,0.9619205298013245,0.05277401894451962,0.011904761904761904,581.0,39.0,700.0,7.0
0.13999999999999999,0.938610662358643,0.9880952380952381,0.9627174813587407,0.05142083897158322,0.011904761904761904,581.0,38.0,701.0,7.0
0.14129396887779805,0.938610662358643,0.9880952380952381,0.9627174813587407,0.05142083897158322,0.011904761904761904,581.0,38.0,701.0,7.0
0.14280258233945037,0.9401294498381877,0.9880952380952381,0.9635157545605307,0.05006765899864682,0.011904761904761904,581.0,37.0,702.0,7.0
0.14420327065533856,0.9431818181818182,0.9880952380952381,0.9651162790697675,0.04736129905277402,0.011904761904761904,581.0,35.0,704.0,7.0
0.145,0.943089430894309,0.9863945578231292,0.9642560266001663,0.04736129905277402,0.013605442176870748,580.0,35.0,704.0,8.0
0.14999999999999997,0.943089430894309,0.9863945578231292,0.9642560266001663,0.04736129905277402,0.013605442176870748,580.0,35.0,704.0,8.0
0.15499999999999997,0.943089430894309,0.9863945578231292,0.9642560266001663,0.04736129905277402,0.013605442176870748,580.0,35.0,704.0,8.0
0.15634101665809635,0.943089430894309,0.9863945578231292,0.9642560266001663,0.04736129905277402,0.013605442176870748,580.0,35.0,704.0,8.0
0.15999999999999998,0.9429967426710097,0.9846938775510204,0.9633943427620633,0.04736129905277402,0.015306122448979591,579.0,35.0,704.0,9.0
0.16499999999999998,0.9429967426710097,0.9846938775510204,0.9633943427620633,0.04736129905277402,0.015306122448979591,579.0,35.0,704.0,9.0
0.16929830218589195,0.9429967426710097,0.9846938775510204,0.9633943427620633,0.04736129905277402,0.015306122448979591,579.0,35.0,704.0,9.0
0.16999999999999998,0.9429037520391517,0.9829931972789115,0.9625312239800167,0.04736129905277402,0.017006802721088437,578.0,35.0,704.0,10.0
0.175,0.9429037520391517,0.9829931972789115,0.9625312239800167,0.04736129905277402,0.017006802721088437,578.0,35.0,704.0,10.0
0.18,0.9429037520391517,0.9829931972789115,0.9625312239800167,0.04736129905277402,0.017006802721088437,578.0,35.0,704.0,10.0
0.18309640601707594,0.9429037520391517,0.9829931972789115,0.9625312239800167,0.04736129905277402,0.017006802721088437,578.0,35.0,704.0,10.0
0.185,0.9459901800327333,0.9829931972789115,0.9641367806505421,0.044654939106901215,0.017006802721088437,578.0,33.0,706.0,10.0
0.19,0.9459901800327333,0.9829931972789115,0.9641367806505421,0.044654939106901215,0.017006802721088437,578.0,33.0,706.0,10.0
0.19312302075693755,0.9459901800327333,0.9829931972789115,0.9641367806505421,0.044654939106901215,0.017006802721088437,578.0,33.0,706.0,10.0
0.1934054469903993,0.9459016393442623,0.9812925170068028,0.9632721202003339,0.044654939106901215,0.01870748299319728,577.0,33.0,706.0,11.0
0.195,0.9474548440065681,0.9812925170068028,0.9640768588137009,0.04330175913396482,0.01870748299319728,577.0,32.0,707.0,11.0
0.19775137157469494,0.9474548440065681,0.9812925170068028,0.9640768588137009,0.04330175913396482,0.01870748299319728,577.0,32.0,707.0,11.0
0.1991839782510707,0.9537190082644628,0.9812925170068028,0.9673093042749371,0.037889039242219216,0.01870748299319728,577.0,28.0,711.0,11.0
0.19999999999999996,0.9536423841059603,0.9795918367346939,0.9664429530201343,0.037889039242219216,0.02040816326530612,576.0,28.0,711.0,12.0
0.20499999999999996,0.9536423841059603,0.9795918367346939,0.9664429530201343,0.037889039242219216,0.02040816326530612,576.0,28.0,711.0,12.0
0.20999999999999996,0.9536423841059603,0.9795918367346939,0.9664429530201343,0.037889039242219216,0.02040816326530612,576.0,28.0,711.0,12.0
0.21327307977431242,0.9536423841059603,0.9795918367346939,0.9664429530201343,0.037889039242219216,0.02040816326530612,576.0,28.0,711.0,12.0
0.21499999999999997,0.9552238805970149,0.9795918367346939,0.9672544080604534,0.036535859269282815,0.02040816326530612,576.0,27.0,712.0,12.0
0.21999999999999997,0.9552238805970149,0.9795918367346939,0.9672544080604534,0.036535859269282815,0.02040816326530612,576.0,27.0,712.0,12.0
0.22499999999999998,0.9552238805970149,0.9795918367346939,0.9672544080604534,0.036535859269282815,0.02040816326530612,576.0,27.0,712.0,12.0
0.22966432879912235,0.9552238805970149,0.9795918367346939,0.9672544080604534,0.036535859269282815,0.02040816326530612,576.0,27.0,712.0,12.0
0.22999999999999998,0.9551495016611296,0.9778911564625851,0.9663865546218487,0.036535859269282815,0.022108843537414966,575.0,27.0,712.0,13.0
0.235,0.9551495016611296,0.9778911564625851,0.9663865546218487,0.036535859269282815,0.022108843537414966,575.0,27.0,712.0,13.0
0.24,0.9551495016611296,0.9778911564625851,0.9663865546218487,0.036535859269282815,0.022108843537414966,575.0,27.0,712.0,13.0
0.245,0.9551495016611296,0.9778911564625851,0.9663865546218487,0.036535859269282815,0.022108843537414966,575.0,27.0,712.0,13.0
0.24807389445381706,0.9551495016611296,0.9778911564625851,0.9663865546218487,0.036535859269282815,0.022108843537414966,575.0,27.0,712.0,13.0
0.24999999999999994,0.9566666666666667,0.9761904761904762,0.9663299663299664,0.035182679296346414,0.023809523809523808,574.0,26.0,713.0,14.0
0.25499999999999995,0.9566666666666667,0.9761904761904762,0.9663299663299664,0.035182679296346414,0.023809523809523808,574.0,26.0,713.0,14.0
0.25999999999999995,0.9566666666666667,0.9761904761904762,0.9663299663299664,0.035182679296346414,0.023809523809523808,574.0,26.0,713.0,14.0
0.26499999999999996,0.9566666666666667,0.9761904761904762,0.9663299663299664,0.035182679296346414,0.023809523809523808,574.0,26.0,713.0,14.0
0.26999999999999996,0.9566666666666667,0.9761904761904762,0.9663299663299664,0.035182679296346414,0.023809523809523808,574.0,26.0,713.0,14.0
0.27499999999999997,0.9566666666666667,0.9761904761904762,0.9663299663299664,0.035182679296346414,0.023809523809523808,574.0,26.0,713.0,14.0
0.27999999999999997,0.9566666666666667,0.9761904761904762,0.9663299663299664,0.035182679296346414,0.023809523809523808,574.0,26.0,713.0,14.0
0.28394739616006287,0.9566666666666667,0.9761904761904762,0.9663299663299664,0.035182679296346414,0.023809523809523808,574.0,26.0,713.0,14.0
0.285,0.9565943238731218,0.9744897959183674,0.9654591406908172,0.035182679296346414,0.025510204081632654,573.0,26.0,713.0,15.0
0.2882292137772775,0.9565943238731218,0.9744897959183674,0.9654591406908172,0.035182679296346414,0.025510204081632654,573.0,26.0,713.0,15.0
0.29,0.9597989949748744,0.9744897959183674,0.9670886075949368,0.03247631935047361,0.025510204081632654,573.0,24.0,715.0,15.0
0.295,0.9597989949748744,0.9744897959183674,0.9670886075949368,0.03247631935047361,0.025510204081632654,573.0,24.0,715.0,15.0
0.3,0.9597989949748744,0.9744897959183674,0.9670886075949368,0.03247631935047361,0.025510204081632654,573.0,24.0,715.0,15.0
0.303685964056184,0.9597989949748744,0.9744897959183674,0.9670886075949368,0.03247631935047361,0.025510204081632654,573.0,24.0,715.0,15.0
0.30499999999999994,0.959731543624161,0.9727891156462585,0.9662162162162162,0.03247631935047361,0.027210884353741496,572.0,24.0,715.0,16.0
0.30999999999999994,0.959731543624161,0.9727891156462585,0.9662162162162162,0.03247631935047361,0.027210884353741496,572.0,24.0,715.0,16.0
0.31499999999999995,0.959731543624161,0.9727891156462585,0.9662162162162162,0.03247631935047361,0.027210884353741496,572.0,24.0,715.0,16.0
0.31999999999999995,0.959731543624161,0.9727891156462585,0.9662162162162162,0.03247631935047361,0.027210884353741496,572.0,24.0,715.0,16.0
0.32499999999999996,0.959731543624161,0.9727891156462585,0.9662162162162162,0.03247631935047361,0.027210884353741496,572.0,24.0,715.0,16.0
0.32999999999999996,0.959731543624161,0.9727891156462585,0.9662162162162162,0.03247631935047361,0.027210884353741496,572.0,24.0,715.0,16.0
0.33499999999999996,0.959731543624161,0.9727891156462585,0.9662162162162162,0.03247631935047361,0.027210884353741496,572.0,24.0,715.0,16.0
0.3358434183330712,0.959731543624161,0.9727891156462585,0.9662162162162162,0.03247631935047361,0.027210884353741496,572.0,24.0,715.0,16.0
